match	n	tag	per_adj	base	pref	revised_match
diperbaikai	1	diperbaikai<x>_X--				
diperbaikia	1	diperbaikia<x>_X--				
diperbaikiatau	1	diperbaikiatau<x>_X--				
diperbaikidari	1	diperbaikidari<x>_X--				
diperbanayak	1	diperbanayak<x>_X--	y	banyak	di	diperbanyak
diperbandingkandengan	1	diperbandingkandengan<x>_X--				
diperbantukakan	1	diperbantukakan<x>_X--				
diperbantunkan	1	diperbantunkan<x>_X--				
diperbarah	1	diperbarah<x>_X--	y	parah	di	diperparah
diperbaruisecara	1	diperbaruisecara<x>_X--				
diperbasan	1	diperbasan<x>_X--				
diperbasar	1	diperbasar<x>_X--	y	besar	di	diperbesar
diperbasketan	1	diperbasketan<x>_X--				
diperbatasam	1	diperbatasam<x>_X--				
diperbayak	1	diperbayak<x>_X--	y	banyak	di	diperbanyak
diperbelohkan	1	diperbelohkan<x>_X--				
diperberhentikan	1	diperberhentikan<x>_X--				
diperbincangakan	1	diperbincangakan<x>_X--				
diperbincangakn	1	diperbincangakn<x>_X--				
diperbincangangkan	1	diperbincangangkan<x>_X--				
diperbincngkan	1	diperbincngkan<x>_X--				
diperbintjangkan	1	diperbintjangkan<x>_X--				
diperboelhkan	1	diperboelhkan<x>_X--				
diperboleehkan	1	diperboleehkan<x>_X--				
diperbolehjan	1	diperbolehjan<x>_X--				
diperbolehkanan	1	diperbolehkanan<x>_X--				
diperbolehkanmematenkan	1	diperbolehkanmematenkan<x>_X--				
diperbolehkaonya	1	diperbolehkaonya<x>_X--				
diperbolehkkan	1	diperbolehkkan<x>_X--				
diperbolehlkan	1	diperbolehlkan<x>_X--				
diperbolekan	1	diperbolekan<x>_X--				
diperbolekkan	1	diperbolekkan<x>_X--				
diperbualkan	1	diperbualkan<x>_X--				
diperbukita	1	diperbukita<x>_X--				
diperbunakan	1	diperbunakan<x>_X--				
diperbupkan	1	diperbupkan<x>_X--				
diperbut	1	diperbut<x>_X--				
dipercaa	1	dipercaa<x>_X--				
dipercabangan	1	dipercabangan<x>_X--				
dipercahkan	1	dipercahkan<x>_X--				
dipercandian	1	dipercandian<x>_X--				
dipercarya	1	dipercarya<x>_X--				
dipercayaan	1	dipercayaan<x>_X--				
dipercayaatau	1	dipercayaatau<x>_X--				
dipercayah	1	dipercayah<x>_X--				
dipercayain	1	dipercayain<x>_X--				
dipercayaka	1	dipercayaka<x>_X--				
dipercayakankepada	1	dipercayakankepada<x>_X--				
dipercayara	1	dipercayara<x>_X--				
dipercayared	1	dipercayared<x>_X--				
dipercayauntuk	1	dipercayauntuk<x>_X--				
dipercayaya	1	dipercayaya<x>_X--				
diperceive	1	diperceive<x>_X--				
dipercep	1	dipercep<x>_X--				
dipercikin	1	dipercikin<x>_X--				
dipercikki	1	dipercikki<x>_X--				
dipercoyo	1	dipercoyo<x>_X--				
dipercvaya	1	dipercvaya<x>_X--				
diperdabatkan	1	diperdabatkan<x>_X--				
diperdagangangkan	1	diperdagangangkan<x>_X--				
diperdagangbebaskan	1	diperdagangbebaskan<x>_X--				
diperdaganggkan	1	diperdaganggkan<x>_X--				
diperdagangka	1	diperdagangka<x>_X--				
diperdagangkagn	1	diperdagangkagn<x>_X--				
diperdagangkand	1	diperdagangkand<x>_X--				
diperdagangkansetiap	1	diperdagangkansetiap<x>_X--				
diperdagankan	1	diperdagankan<x>_X--				
diperdagin	1	diperdagin<x>_X--				
diperdagnagkan	1	diperdagnagkan<x>_X--				
diperdangangkan	1	diperdangangkan<x>_X--				
diperdangkan	1	diperdangkan<x>_X--				
diperdbatkan	1	diperdbatkan<x>_X--				
diperdeatkan	1	diperdeatkan<x>_X--				
diperdebadkan	1	diperdebadkan<x>_X--				
diperdegangarkan	1	diperdegangarkan<x>_X--				
diperdgangkan	1	diperdgangkan<x>_X--				
diperdjelas	1	diperdjelas<x>_X--	y	jelas	di	diperjelas
diperdjuangkan	1	diperdjuangkan<x>_X--				
diperebutakan	1	diperebutakan<x>_X--				
diperebutin	1	diperebutin<x>_X--				
diperecayai	1	diperecayai<x>_X--				
diperediksikan	1	diperediksikan<x>_X--				
diperehitungkan	1	diperehitungkan<x>_X--				
diperekenankan	1	diperekenankan<x>_X--				
diperekonomian	1	diperekonomian<x>_X--				
dipereleh	1	dipereleh<x>_X--				
diperelohnya	1	diperelohnya<x>_X--				
diperelombakan	1	diperelombakan<x>_X--				
diperembahkan	1	diperembahkan<x>_X--				
diperemsembahkannya	1	diperemsembahkannya<x>_X--				
diperengkapi	1	diperengkapi<x>_X--				
diperentarai	1	diperentarai<x>_X--				
diperependek	1	diperependek<x>_X--				
dipererhitungkan	1	dipererhitungkan<x>_X--				
diperesengketakan	1	diperesengketakan<x>_X--				
diperesiansi	1	diperesiansi<x>_X--				
diperfusinya	1	diperfusinya<x>_X--				
dipergadangkan	1	dipergadangkan<x>_X--				
dipergagah	1	dipergagah<x>_X--	y	gagah	di	dipergagah
dipergarang	1	dipergarang<x>_X--	y	garang	di	dipergarang
dipergitungkan	1	dipergitungkan<x>_X--				
dipergubkan	1	dipergubkan<x>_X--				
dipergukan	1	dipergukan<x>_X--				
diperguliran	1	diperguliran<x>_X--				
dipergun	1	dipergun<x>_X--				
dipergunaakan	1	dipergunaakan<x>_X--				
dipergunakandiseluruh	1	dipergunakandiseluruh<x>_X--				
dipergunakans	1	dipergunakans<x>_X--				
dipergunakanuntuk	1	dipergunakanuntuk<x>_X--				
dipergunakkan	1	dipergunakkan<x>_X--				
dipergunbakan	1	dipergunbakan<x>_X--				
dipergunjing	1	dipergunjing<x>_X--				
dipergunungan	1	dipergunungan<x>_X--				
dipergururan	1	dipergururan<x>_X--				
dipergwtakan	1	dipergwtakan<x>_X--				
diperhadaphadapkan	1	diperhadaphadapkan<x>_X--				
diperhadapka	1	diperhadapka<x>_X--				
diperhaikan	1	diperhaikan<x>_X--				
diperhartikan	1	diperhartikan<x>_X--				
diperhatankan	1	diperhatankan<x>_X--				
diperhatikana	1	diperhatikana<x>_X--				
diperhatikanb	1	diperhatikanb<x>_X--				
diperhatikandalam	1	diperhatikandalam<x>_X--				
diperhatikans	1	diperhatikans<x>_X--				
diperhatiken	1	diperhatiken<x>_X--				
diperhatikjan	1	diperhatikjan<x>_X--				
diperhatikkan	1	diperhatikkan<x>_X--				
diperhatrikan	1	diperhatrikan<x>_X--				
diperhelatkan	1	diperhelatkan<x>_X--				
diperhentian	1	diperhentian<x>_X--				
diperhiiungkan	1	diperhiiungkan<x>_X--				
diperhimpunan	1	diperhimpunan<x>_X--				
diperhirtungkan	1	diperhirtungkan<x>_X--				
diperhitungankan	1	diperhitungankan<x>_X--				
diperhitungkn	1	diperhitungkn<x>_X--				
diperhitungkna	1	diperhitungkna<x>_X--				
diperhtikan	1	diperhtikan<x>_X--				
diperhuluan	1	diperhuluan<x>_X--				
diperhut	1	diperhut<x>_X--				
diperiapkan	1	diperiapkan<x>_X--				
diperifer	1	diperifer<x>_X--				
diperihalkan	1	diperihalkan<x>_X--				
diperihtahkan	1	diperihtahkan<x>_X--				
diperiingati	1	diperiingati<x>_X--				
diperikanan	1	diperikanan<x>_X--				
diperikarakan	1	diperikarakan<x>_X--				
diperiks	1	diperiks<x>_X--				
diperiksam	1	diperiksam<x>_X--				
diperiksasah	1	diperiksasah<x>_X--				
diperiksasejak	1	diperiksasejak<x>_X--				
diperiksasnya	1	diperiksasnya<x>_X--				
diperikskan	1	diperikskan<x>_X--				
diperikso	1	diperikso<x>_X--				
diperilahara	1	diperilahara<x>_X--				
diperileh	1	diperileh<x>_X--				
diperincikankan	1	diperincikankan<x>_X--				
diperindustrian	1	diperindustrian<x>_X--				
diperingak	1	diperingak<x>_X--				
diperingatin	1	diperingatin<x>_X--				
diperingatu	1	diperingatu<x>_X--				
diperingbati	1	diperingbati<x>_X--				
diperingiman	1	diperingiman<x>_X--				
diperinngkat	1	diperinngkat<x>_X--				
diperintahakan	1	diperintahakan<x>_X--				
diperintahka	1	diperintahka<x>_X--				
diperintahkam	1	diperintahkam<x>_X--				
diperintahkanluntuk	1	diperintahkanluntuk<x>_X--				
diperintarkan	1	diperintarkan<x>_X--				
diperinthakan	1	diperinthakan<x>_X--				
diperintukkan	1	diperintukkan<x>_X--				
diperiodesasi	1	diperiodesasi<x>_X--				
diperioleh	1	diperioleh<x>_X--				
diperiper	1	diperiper<x>_X--				
diperiritahkan	1	diperiritahkan<x>_X--				
diperisiapkan	1	diperisiapkan<x>_X--				
diperistirahatannya	1	diperistirahatannya<x>_X--				
diperitungkan	1	diperitungkan<x>_X--				
diperizinannya	1	diperizinannya<x>_X--				
diperjakan	1	diperjakan<x>_X--				
diperjarakan	1	diperjarakan<x>_X--				
diperjirakan	1	diperjirakan<x>_X--				
diperjodohkan	1	diperjodohkan<x>_X--				
diperjuabelikan	1	diperjuabelikan<x>_X--				
diperjualbelian	1	diperjualbelian<x>_X--				
diperjualbelikankan	1	diperjualbelikankan<x>_X--				
diperjuanghkan	1	diperjuanghkan<x>_X--				
diperjuangkannnya	1	diperjuangkannnya<x>_X--				
diperjuangkanya	1	diperjuangkanya<x>_X--				
diperkaraan	1	diperkaraan<x>_X--				
diperkatat	1	diperkatat<x>_X--	y	ketat	di	diperketat
diperkawinan	1	diperkawinan<x>_X--				
diperkayakemajuan	1	diperkayakemajuan<x>_X--				
diperkebunankan	1	diperkebunankan<x>_X--				
diperkeci	1	diperkeci<x>_X--	y	kecil	di	diperkecil
diperkekat	1	diperkekat<x>_X--	y	ketat	di	diperketat
diperkembangbiakan	1	diperkembangbiakan<x>_X--				
diperkenalakan	1	diperkenalakan<x>_X--				
diperkenalkakn	1	diperkenalkakn<x>_X--				
diperkenalkanmelalui	1	diperkenalkanmelalui<x>_X--				
diperkenalkannyabatas	1	diperkenalkannyabatas<x>_X--				
diperkenalkanyang	1	diperkenalkanyang<x>_X--				
diperkenalklan	1	diperkenalklan<x>_X--				
diperkenankankan	1	diperkenankankan<x>_X--				
diperkenankn	1	diperkenankn<x>_X--				
diperkenannnya	1	diperkenannnya<x>_X--				
diperkenelkan	1	diperkenelkan<x>_X--				
diperkenlakn	1	diperkenlakn<x>_X--				
diperkenlkan	1	diperkenlkan<x>_X--				
diperkerkirakan	1	diperkerkirakan<x>_X--				
diperkiaran	1	diperkiaran<x>_X--				
diperkiarkan	1	diperkiarkan<x>_X--				
diperkiiakan	1	diperkiiakan<x>_X--				
diperkimber	1	diperkimber<x>_X--				
diperkiraakan	1	diperkiraakan<x>_X--				
diperkirakaaan	1	diperkirakaaan<x>_X--				
diperkirakain	1	diperkirakain<x>_X--				
diperkirakakan	1	diperkirakakan<x>_X--				
diperkirakana	1	diperkirakana<x>_X--				
diperkirakanakan	1	diperkirakanakan<x>_X--				
diperkirakand	1	diperkirakand<x>_X--				
diperkirakandari	1	diperkirakandari<x>_X--				
diperkirakanhujan	1	diperkirakanhujan<x>_X--				
diperkirakanini	1	diperkirakanini<x>_X--				
diperkirakankan	1	diperkirakankan<x>_X--				
diperkirakanmempunyai	1	diperkirakanmempunyai<x>_X--				
diperkirakansebanyak	1	diperkirakansebanyak<x>_X--				
diperkirakansekedar	1	diperkirakansekedar<x>_X--				
diperkirakkan	1	diperkirakkan<x>_X--				
diperkiralam	1	diperkiralam<x>_X--				
diperkirarkan	1	diperkirarkan<x>_X--				
diperkirkana	1	diperkirkana<x>_X--				
diperkirtakaan	1	diperkirtakaan<x>_X--				
diperkisa	1	diperkisa<x>_X--				
diperkitara	1	diperkitara<x>_X--				
diperklirakan	1	diperklirakan<x>_X--				
diperklukan	1	diperklukan<x>_X--				
diperkortaan	1	diperkortaan<x>_X--				
diperkosapada	1	diperkosapada<x>_X--				
diperkotaanpun	1	diperkotaanpun<x>_X--				
diperkotak-katik	1	di+per+kotak<n>_VSPDASH^katik<x>_X--$				
diperkuat-grafit	1	di+per+kuat<a>_VSPDASH^grafit<x>_X--$				
diperkudalumping	1	diperkudalumping<x>_X--				
diperkurakan	1	diperkurakan<x>_X--				
diperkurus	1	diperkurus<x>_X--	y	kurus	di	diperkurus
diperkusa	1	diperkusa<x>_X--				
diperkut	1	diperkut<x>_X--				
diperlakuakn	1	diperlakuakn<x>_X--				
diperlakuin	1	diperlakuin<x>_X--				
diperlbagai	1	diperlbagai<x>_X--				
diperlegkapi	1	diperlegkapi<x>_X--				
diperleh	1	diperleh<x>_X--				
diperlekehkan	1	diperlekehkan<x>_X--				
diperlekekan	1	diperlekekan<x>_X--				
diperlemen	1	diperlemen<x>_X--				
diperlenar	1	diperlenar<x>_X--	y	lebar	di	diperlebar
diperlihatkn	1	diperlihatkn<x>_X--				
diperlilhatkan	1	diperlilhatkan<x>_X--				
diperlindungan	1	diperlindungan<x>_X--				
diperlkuas	1	diperlkuas<x>_X--	y	luas	di	diperluas
diperlkukan	1	diperlkukan<x>_X--				
diperloeh	1	diperloeh<x>_X--				
diperloha	1	diperloha<x>_X--				
diperlohatkan	1	diperlohatkan<x>_X--				
diperlokake	1	diperlokake<x>_X--				
diperlokukan	1	diperlokukan<x>_X--				
diperlombaan	1	diperlombaan<x>_X--				
diperlonjong	1	diperlonjong<x>_X--				
diperluasa	1	diperluasa<x>_X--	y	luas	di	diperluas
diperluhatkan	1	diperluhatkan<x>_X--				
diperlukakebijakan	1	diperlukakebijakan<x>_X--				
diperlukana	1	diperlukana<x>_X--				
diperlukanadalah	1	diperlukanadalah<x>_X--				
diperlukanan	1	diperlukanan<x>_X--				
diperlukanbelajar	1	diperlukanbelajar<x>_X--				
diperlukanbp	1	diperlukanbp<x>_X--				
diperlukandimasa	1	diperlukandimasa<x>_X--				
diperlukanguru	1	diperlukanguru<x>_X--				
diperlukankan	1	diperlukankan<x>_X--				
diperlukankarena	1	diperlukankarena<x>_X--				
diperlukannja	1	diperlukannja<x>_X--				
diperlukanoleh	1	diperlukanoleh<x>_X--				
diperlukanproses	1	diperlukanproses<x>_X--				
diperlukansaja	1	diperlukansaja<x>_X--				
diperlukanuntuk	1	diperlukanuntuk<x>_X--				
diperlukanupaya	1	diperlukanupaya<x>_X--				
diperluklan	1	diperluklan<x>_X--				
diperlukuan	1	diperlukuan<x>_X--				
diperlulan	1	diperlulan<x>_X--				
diperlus	1	diperlus<x>_X--				
dipermaalahkan	1	dipermaalahkan<x>_X--				
dipermainankan	1	dipermainankan<x>_X--				
dipermainmainkan	1	dipermainmainkan<x>_X--				
dipermaluin	1	dipermaluin<x>_X--				
dipermasalahankan	1	dipermasalahankan<x>_X--				
dipermasalahin	1	dipermasalahin<x>_X--				
dipermasalahka	1	dipermasalahka<x>_X--				
dipermasalkan	1	dipermasalkan<x>_X--				
dipermasdalahkan	1	dipermasdalahkan<x>_X--				
dipermeabilisasi	1	dipermeabilisasi<x>_X--				
diperminyakan	1	diperminyakan<x>_X--				
dipermohonan	1	dipermohonan<x>_X--				
dipermukaanya	1	dipermukaanya<x>_X--				
dipermunakan	1	dipermunakan<x>_X--				
dipermurkaan	1	dipermurkaan<x>_X--				
dipernah	1	dipernah<x>_X--				
dipernakhutbun	1	dipernakhutbun<x>_X--				
dipernakna	1	dipernakna<x>_X--				
dipernbandingkan	1	dipernbandingkan<x>_X--				
diperndah	1	diperndah<x>_X--				
dipernenalkan	1	dipernenalkan<x>_X--				
dipernjanjikan	1	dipernjanjikan<x>_X--				
diperntahkan	1	diperntahkan<x>_X--				
diperntukkan	1	diperntukkan<x>_X--				
dipernyataan	1	dipernyataan<x>_X--				
diperolaeh	1	diperolaeh<x>_X--				
diperolehbahwa	1	diperolehbahwa<x>_X--				
diperolehdalampenelitianinidiolahdandianalisisdenganmenggunakanmetodenormatif	1	diperolehdalampenelitianinidiolahdandianalisisdenganmenggunakanmetodenormatif<x>_X--				
diperolehdianalisisdenganmetodesilogisme	1	diperolehdianalisisdenganmetodesilogisme<x>_X--				
diperolehdinyatakandalamkeadaan	1	diperolehdinyatakandalamkeadaan<x>_X--				
diperolehjembatansetailrencananyaakandibangunjembatanbaru	1	diperolehjembatansetailrencananyaakandibangunjembatanbaru<x>_X--				
diperolehklustar	1	diperolehklustar<x>_X--				
diperolehmelalui	1	diperolehmelalui<x>_X--				
diperolehmelaluimetodetriangulasiexpert	1	diperolehmelaluimetodetriangulasiexpert<x>_X--				
diperolehna	1	diperolehna<x>_X--				
diperolehpelaku	1	diperolehpelaku<x>_X--				
diperolehpemahamanyangbaik	1	diperolehpemahamanyangbaik<x>_X--				
diperolehsebagai	1	diperolehsebagai<x>_X--				
diperolehsemakin	1	diperolehsemakin<x>_X--				
diperolehtertundanya	1	diperolehtertundanya<x>_X--				
diperolehxp	1	diperolehxp<x>_X--				
diperolehya	1	diperolehya<x>_X--				
diperolekan	1	diperolekan<x>_X--				
diperooleh	1	diperooleh<x>_X--				
diperopeh	1	diperopeh<x>_X--				
diperorangan	1	diperorangan<x>_X--				
diperpanjangselama	1	diperpanjangselama<x>_X--				
diperparang	1	diperparang<x>_X--	y	parah	di	diperparah
diperperah	1	diperperah<x>_X--	y	parah	di	diperparah
diperperpanjang	1	diperperpanjang<x>_X--	y	panjang	di	diperpanjang
diperpindahan	1	diperpindahan<x>_X--				
diperpolehkan	1	diperpolehkan<x>_X--				
diperpus	1	diperpus<x>_X--				
diperringan	1	diperringan<x>_X--	y	ringan	di	diperingan
diperringatkan	1	diperringatkan<x>_X--				
diperrsalahkan	1	diperrsalahkan<x>_X--				
diperrtunjukan	1	diperrtunjukan<x>_X--				
dipersak	1	dipersak<x>_X--				
dipersaksiaan	1	dipersaksiaan<x>_X--				
dipersalahankan	1	dipersalahankan<x>_X--				
dipersalahkkan	1	dipersalahkkan<x>_X--				
dipersambungan	1	dipersambungan<x>_X--				
dipersangkaan	1	dipersangkaan<x>_X--				
dipersar	1	dipersar<x>_X--				
dipersattikan	1	dipersattikan<x>_X--				
dipersatuan	1	dipersatuan<x>_X--				
dipersayaratkan	1	dipersayaratkan<x>_X--				
dipersayratkan	1	dipersayratkan<x>_X--				
diperscmpit	1	diperscmpit<x>_X--	y	sempit	di	dipersempit
dipersebahkan	1	dipersebahkan<x>_X--				
dipersekitaran	1	dipersekitaran<x>_X--				
diperselelisihkan	1	diperselelisihkan<x>_X--				
diperselisihan	1	diperselisihan<x>_X--				
dipersemabahkan	1	dipersemabahkan<x>_X--				
dipersembabahkan	1	dipersembabahkan<x>_X--				
dipersembahhkan	1	dipersembahhkan<x>_X--				
dipersembahkkan	1	dipersembahkkan<x>_X--				
dipersembakan	1	dipersembakan<x>_X--				
dipersembangkan	1	dipersembangkan<x>_X--				
dipersendaguraukan	1	dipersendaguraukan<x>_X--				
dipersendokan	1	dipersendokan<x>_X--				
dipersenjataikamera	1	dipersenjataikamera<x>_X--				
dipersenjatau	1	dipersenjatau<x>_X--				
dipersentasi	1	dipersentasi<x>_X--				
dipersentsekan	1	dipersentsekan<x>_X--				
dipersepikan	1	dipersepikan<x>_X--				
dipersepit	1	dipersepit<x>_X--	y	sempit	di	dipersempit
dipersesepsikan	1	dipersesepsikan<x>_X--				
dipersetujuan	1	dipersetujuan<x>_X--				
dipersiadngan	1	dipersiadngan<x>_X--				
dipersialahkan	1	dipersialahkan<x>_X--				
dipersiapakanadalah	1	dipersiapakanadalah<x>_X--				
dipersiapin	1	dipersiapin<x>_X--				
dipersiapken	1	dipersiapken<x>_X--				
dipersiapkun	1	dipersiapkun<x>_X--				
dipersilahan	1	dipersilahan<x>_X--				
dipersilahken	1	dipersilahken<x>_X--				
dipersimple	1	dipersimple<x>_X--				
dipersipakn	1	dipersipakn<x>_X--				
dipersisiran	1	dipersisiran<x>_X--				
dipersoalan	1	dipersoalan<x>_X--				
dipersoalkna	1	dipersoalkna<x>_X--				
dipersolakan	1	dipersolakan<x>_X--				
dipersolaklan	1	dipersolaklan<x>_X--				
dipersolek	1	dipersolek<x>_X--				
dipersonasikan	1	dipersonasikan<x>_X--				
diperspesi	1	diperspesi<x>_X--				
diperspsikan	1	diperspsikan<x>_X--				
dipersuasikan	1	dipersuasikan<x>_X--				
dipersungguh	1	dipersungguh<x>_X--				
dipersuntingkan	1	dipersuntingkan<x>_X--				
dipersyarakatan	1	dipersyarakatan<x>_X--				
dipersyarakatkan	1	dipersyarakatkan<x>_X--				
dipertaggungjawabkan	1	dipertaggungjawabkan<x>_X--				
dipertahakankan	1	dipertahakankan<x>_X--				
dipertahanake	1	dipertahanake<x>_X--				
dipertahanakn	1	dipertahanakn<x>_X--				
dipertahanankan	1	dipertahanankan<x>_X--				
dipertahankam	1	dipertahankam<x>_X--				
dipertahankanagar	1	dipertahankanagar<x>_X--				
dipertahankanfed	1	dipertahankanfed<x>_X--				
dipertahankanna	1	dipertahankanna<x>_X--				
dipertahikan	1	dipertahikan<x>_X--				
dipertahnkan	1	dipertahnkan<x>_X--				
dipertahornak	1	dipertahornak<x>_X--				
dipertakanyakan	1	dipertakanyakan<x>_X--				
dipertakukan	1	dipertakukan<x>_X--				
dipertambahan	1	dipertambahan<x>_X--				
dipertambangan	1	dipertambangan<x>_X--				
dipertanakkan	1	dipertanakkan<x>_X--				
dipertandigkan	1	dipertandigkan<x>_X--				
dipertandingkandi	1	dipertandingkandi<x>_X--				
dipertandingn	1	dipertandingn<x>_X--				
dipertandsingkan	1	dipertandsingkan<x>_X--				
dipertangggung	1	dipertangggung<x>_X--				
dipertanggngjawabkan	1	dipertanggngjawabkan<x>_X--				
dipertanggongjawabkn	1	dipertanggongjawabkn<x>_X--				
dipertanggunga	1	dipertanggunga<x>_X--				
dipertanggungawabkan	1	dipertanggungawabkan<x>_X--				
dipertanggungjawabka	1	dipertanggungjawabka<x>_X--				
dipertanggungjawabkankan	1	dipertanggungjawabkankan<x>_X--				
dipertanggungjawabkanred	1	dipertanggungjawabkanred<x>_X--				
dipertanggungjwabakan	1	dipertanggungjwabakan<x>_X--				
dipertanggungngjawabkan	1	dipertanggungngjawabkan<x>_X--				
dipertangjawabkan	1	dipertangjawabkan<x>_X--				
dipertangung	1	dipertangung<x>_X--				
dipertanian	1	dipertanian<x>_X--				
dipertanyaan	1	dipertanyaan<x>_X--				
dipertanyakanpenonaktifan	1	dipertanyakanpenonaktifan<x>_X--				
dipertanyakn	1	dipertanyakn<x>_X--				
dipertanyatakan	1	dipertanyatakan<x>_X--				
dipertarungan	1	dipertarungan<x>_X--				
dipertatankan	1	dipertatankan<x>_X--				
dipertebatkan	1	dipertebatkan<x>_X--				
dipertela	1	dipertela<x>_X--				
dipertemanan	1	dipertemanan<x>_X--				
dipertemukaan	1	dipertemukaan<x>_X--				
diperten	1	diperten<x>_X--				
diperteng	1	diperteng<x>_X--				
dipertenggungjawabkan	1	dipertenggungjawabkan<x>_X--				
dipertenghan	1	dipertenghan<x>_X--				
diperthitungkan	1	diperthitungkan<x>_X--				
dipertibangkan	1	dipertibangkan<x>_X--				
dipertimbagkan	1	dipertimbagkan<x>_X--				
dipertimbagnkan	1	dipertimbagnkan<x>_X--				
dipertimbahkan	1	dipertimbahkan<x>_X--				
dipertimban	1	dipertimban<x>_X--				
dipertimbangankan	1	dipertimbangankan<x>_X--				
dipertimbangin	1	dipertimbangin<x>_X--				
dipertimbangjan	1	dipertimbangjan<x>_X--				
dipertimbangkandua	1	dipertimbangkandua<x>_X--				
dipertimbangkanh	1	dipertimbangkanh<x>_X--				
dipertimbankan	1	dipertimbankan<x>_X--				
dipertimgbangkan	1	dipertimgbangkan<x>_X--				
dipertimnbangkan	1	dipertimnbangkan<x>_X--				
dipertindakan	1	dipertindakan<x>_X--				
dipertjaja	1	dipertjaja<x>_X--				
dipertjajainja	1	dipertjajainja<x>_X--				
dipertjepat	1	dipertjepat<x>_X--	y	cepat	di	dipercepat
dipertjikkan	1	dipertjikkan<x>_X--				
dipertlukan	1	dipertlukan<x>_X--				
dipertujunkkan	1	dipertujunkkan<x>_X--				
dipertungan	1	dipertungan<x>_X--				
dipertunggungjawabkan	1	dipertunggungjawabkan<x>_X--				
dipertunjukksn	1	dipertunjukksn<x>_X--				
dipertuntukan	1	dipertuntukan<x>_X--				
diperturbasi	1	diperturbasi<x>_X--				
diperulkan	1	diperulkan<x>_X--				
diperuntikkan	1	diperuntikkan<x>_X--				
diperuntuan	1	diperuntuan<x>_X--				
diperuntukaan	1	diperuntukaan<x>_X--				
diperuntukann	1	diperuntukann<x>_X--				
diperuntutkan	1	diperuntutkan<x>_X--				
diperuntuukan	1	diperuntuukan<x>_X--				
diperunyam	1	diperunyam<x>_X--	y	runyam	di	diperunyam
diperuruan	1	diperuruan<x>_X--				
diperutibunya	1	diperutibunya<x>_X--				
diperwil	1	diperwil<x>_X--				
memperabiki	1	memperabiki<x>_X--				
memperabrui	1	memperabrui<x>_X--				
memperadagangkan	1	memperadagangkan<x>_X--				
memperagarakan	1	memperagarakan<x>_X--				
memperahatikan	1	memperahatikan<x>_X--				
memperakiekkan	1	memperakiekkan<x>_X--				
memperaktekkanya	1	memperaktekkanya<x>_X--				
memperaktik	1	memperaktik<x>_X--				
memperakya	1	memperakya<x>_X--	y	kaya	mem	memperkaya
memperanyar	1	memperanyar<x>_X--	y	anyar	mem	memperanyar
memperaparah	1	memperaparah<x>_X--	y	parah	mem	memperparah
memperaperadilankan	1	memperaperadilankan<x>_X--				
memperarat	1	memperarat<x>_X--	y	erat	mem	mempererat
memperarerat	1	memperarerat<x>_X--	y	erat	mem	mempererat
memperaruhkan	1	memperaruhkan<x>_X--				
memperatahankan	1	memperatahankan<x>_X--				
memperatanggung	1	memperatanggung<x>_X--				
memperatikan	1	memperatikan<x>_X--				
memperbagiki	1	memperbagiki<x>_X--				
memperbaharuai	1	memperbaharuai<x>_X--				
memperbaharuhi	1	memperbaharuhi<x>_X--				
memperbaharusi	1	memperbaharusi<x>_X--				
memperbahauri	1	memperbahauri<x>_X--				
memperbaii	1	memperbaii<x>_X--				
memperbaiikinya	1	memperbaiikinya<x>_X--				
memperbaika	1	memperbaika<x>_X--				
memperbaikik	1	memperbaikik<x>_X--				
memperbaikimobil	1	memperbaikimobil<x>_X--				
memperbaikiriya	1	memperbaikiriya<x>_X--				
memperbaikya	1	memperbaikya<x>_X--				
memperbandingakannya	1	memperbandingakannya<x>_X--				
memperbantyak	1	memperbantyak<x>_X--	y	banyak	mem	memperbanyak
memperbaruai	1	memperbaruai<x>_X--				
memperbarul	1	memperbarul<x>_X--				
memperbatikan	1	memperbatikan<x>_X--				
memperbauiki	1	memperbauiki<x>_X--				
memperbeharui	1	memperbeharui<x>_X--				
memperberbesar	1	memperberbesar<x>_X--	y	besar	mem	memperbesar
memperbesal	1	memperbesal<x>_X--	y	besar	mem	memperbesar
memperbesarn	1	memperbesarn<x>_X--	y	besar	mem	memperbesar
memperbesas	1	memperbesas<x>_X--	y	besar	mem	memperbesar
memperbincangankan	1	memperbincangankan<x>_X--				
memperbolahkan	1	memperbolahkan<x>_X--				
memperbolehan	1	memperbolehan<x>_X--				
memperbolehkann	1	memperbolehkann<x>_X--				
memperbuak	1	memperbuak<x>_X--				
memperbudah	1	memperbudah<x>_X--				
memperbudkanya	1	memperbudkanya<x>_X--				
mempercajainya	1	mempercajainya<x>_X--				
mempercanrik	1	mempercanrik<x>_X--				
mempercayaakan	1	mempercayaakan<x>_X--				
mempercayaan	1	mempercayaan<x>_X--				
mempercayaii	1	mempercayaii<x>_X--				
mempercayaik	1	mempercayaik<x>_X--				
mempercayaksan	1	mempercayaksan<x>_X--				
memperccepat	1	memperccepat<x>_X--	y	cepat	mem	mempercepat
memperceat	1	memperceat<x>_X--	y	cepat	mem	mempercepat
mempercepar	1	mempercepar<x>_X--	y	cepat	mem	mempercepat
mempercepart	1	mempercepart<x>_X--	y	cepat	mem	mempercepat
mempercepata	1	mempercepata<x>_X--	y	cepat	mem	mempercepat
